Group,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,G1,G2,G3,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a,16a,17a,18a,19a,20a,21a_Browser,21a_Version,21a_Operating System,21a_Resolution,22a_First Click,22a_Last Click,22a_Page Submit,22a_Click Count,mTurkCode,Final_Score
1,7/10/2017 9:30,7/10/2017 9:45,IP Address,24.167.148.208,100,913,TRUE,7/10/2017 9:45,R_2ZPHmsto482O4mW,,36.07139587,-79.76789856,anonymous,EN,Male,High school graduate (high school diploma or equivalent including GED),28-37,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,A) Sunburns are most likely to happen when beach go-ers suntan for consecutive sunny days at the beach.,A) $900,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,A) more tech-savvy now than at any time in their,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",A) Treatment by psychotherapy can produce no effective reduction in or correction of chemical imbalances that cause mental disorders.,"A) Compared to other types of home fires, home fires caused by smoking in bed usually cause relatively little damage before they are extinguished.",B) Roger got opinions from two of the foremost cancer specialists in the country.,E)  intractable : destruction,C) Two columns are equal.,D) 217.75,D) vary,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"B) which was colder and wetter than usual in some regions, slowing",A) bringing,"D) Being born in Calcutta in 1940 and having been a United States citizen since 1988, author Bharati Mukherjee",B) 20,A) Monday,Chrome,59.0.3071.86,Macintosh,1920x1080,44.429,144.561,146.842,8,582111,10
1,7/10/2017 9:30,7/10/2017 9:48,IP Address,97.107.169.202,100,1074,TRUE,7/10/2017 9:48,R_2tApcrOB2LcmNdT,,40.59179688,-74.70500183,anonymous,EN,Male,Associate degree in college (2-year),28-37,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,D) Written by what some believe as one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,D) $1200,E) Statements 1 and 2 are not sufficient to answer the question asked and additional data is needed to answer the statements.,E) more tech-savvy now than it was at any time in,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",E) Treatment with psychotherapy has no effect on mental disorders other than a reduction of the symptoms,"A) Compared to other types of home fires, home fires caused by smoking in bed usually cause relatively little damage before they are extinguished.","C) Many aspects of medical practice are based on probabilities, and Roger went with the greatest probability.",D) immutable : alteration,B) Quantity in Column B is greater.,D) 217.75,D) vary,B) Industrial interests need not oppose the protection of the environment.,"C) since it was colder and wetter than usually in some regions, which slowed",A) bringing,"C) Born in Calcutta in 1940, author Bharati Mukherjee became a United States citizen in 1988; she has",D) 45,A) Monday,Firefox,38,Windows NT 6.1,1280x1024,7.182,116.611,117.536,10,898005,8
1,7/10/2017 9:29,7/10/2017 9:48,IP Address,73.252.59.190,100,1150,TRUE,7/10/2017 9:48,R_3P83prlSSGLm9Fg,,32.52059937,-92.1065979,anonymous,EN,Male,Associate degree in college (2-year),18-27,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,A) $900,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,B) more tech-savvy than they were at any time in their,"C) Mitchell, Simon, Jackson, Prince, Nicks, Lennon, Wonder, King",A) Treatment by psychotherapy can produce no effective reduction in or correction of chemical imbalances that cause mental disorders.,B) Home fires caused by smoking in bed often break out after the home‰Ûªs occupants have fallen asleep.,"D) Even with the most modern methods and facilities, medicine is still more of an art than a science, and one can‰Ûªt really predict the outcome with any high degree of reliability.",B) independent : conquest,A) Quantity in Column A is greater.,D) 217.75,B) disappear,A) Regionalist party members have organized to oppose industrial interests on several other issues.,E) having been colder and wetter than was usual in some regions and slowed,C) and it brings,"A) Being a United States citizen since 1988 and born in Calcutta in 1940, author Bharati Mukherjee has",E) 90,A) Monday,Chrome,53.0.2785.143,Windows NT 10.0,1920x1080,0.863,4.59,5.404,5,777520,6
1,7/9/2017 20:33,7/10/2017 9:54,IP Address,67.186.53.40,100,48055,TRUE,7/10/2017 9:54,R_1igigbw1ifmlW1M,,40.92689514,-79.3986969,anonymous,EN,Female,Bachelor's degree in college (4-year),> 47,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,A) $900,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,A) more tech-savvy now than at any time in their,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",B) Treatment with medication always shows faster results for patients with mental disorders than does treatment with psychotherapy.,D) An increasing number of people have been killed in home fires that started in the kitchen.,"E) Roger made the decision himself, and he takes the responsibility for it.",D) immutable : alteration,C) Two columns are equal.,D) 217.75,D) vary,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"A) colder and wetter than was usual in some regions, which slowed",A) bringing,"A) Being a United States citizen since 1988 and born in Calcutta in 1940, author Bharati Mukherjee has",B) 20,A) Monday,Chrome,59.0.3071.113,CrOS x86_64 9460.67.0,1920x1080,68.578,256.315,257.667,5,858483,10
1,7/10/2017 9:30,7/10/2017 9:54,IP Address,97.103.1.40,100,1467,TRUE,7/10/2017 9:54,R_t04u0XUcFM1UJJD,,28.91099548,-81.1855011,anonymous,EN,Female,Some college but no degree,28-37,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,E) $1300,E) Statements 1 and 2 are not sufficient to answer the question asked and additional data is needed to answer the statements.,A) more tech-savvy now than at any time in their,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",C) Most mental disorders are not the result of chemical imbalances affecting the brain.,"A) Compared to other types of home fires, home fires caused by smoking in bed usually cause relatively little damage before they are extinguished.","C) Many aspects of medical practice are based on probabilities, and Roger went with the greatest probability.",A) invincible : control,A) Quantity in Column A is greater.,D) 217.75,D) vary,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"B) which was colder and wetter than usual in some regions, slowing",A) bringing,"E) Having been born in Calcutta in 1940 and being a United States citizen since 1988, author Bharati Mukherjee",D) 45,A) Monday,Chrome,59.0.3071.115,Windows NT 10.0,1366x768,70.881,192.938,194.812,5,929096,8
1,7/10/2017 9:29,7/10/2017 10:01,IP Address,172.56.28.107,100,1933,TRUE,7/10/2017 10:01,R_2aqRyrC0BmAE2SL,,39.95429993,-75.16570282,anonymous,EN,Female,High school graduate (high school diploma or equivalent including GED),38-47,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,D) $1200,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,C) more tech-savvy than those at any other time in,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",A) Treatment by psychotherapy can produce no effective reduction in or correction of chemical imbalances that cause mental disorders.,"E) Population densities have increased, with the result that one home fire can cause more deaths than in previous decades",A) Roger feels better now than he would have felt without the surgery.,B) independent : conquest,D) Relationship cannot be determined from the information given.,D) 217.75,A) increase,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"D)  being colder and wetter than usually in some regions, slowing",D) and it brought,"D) Being born in Calcutta in 1940 and having been a United States citizen since 1988, author Bharati Mukherjee",A) 16,A) Monday,Chrome,59.0.3071.115,Windows NT 10.0,1366x768,23.963,105.593,107.029,5,183827,10
1,7/10/2017 9:42,7/10/2017 10:03,IP Address,24.12.154.253,100,1276,TRUE,7/10/2017 10:03,R_2BldN0jo9wsJRrn,,42.16949463,-87.95880127,anonymous,EN,Male,Bachelor's degree in college (4-year),28-37,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,D) Written by what some believe as one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,B) $1000,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,A) more tech-savvy now than at any time in their,"C) Mitchell, Simon, Jackson, Prince, Nicks, Lennon, Wonder, King",C) Most mental disorders are not the result of chemical imbalances affecting the brain.,D) An increasing number of people have been killed in home fires that started in the kitchen.,"C) Many aspects of medical practice are based on probabilities, and Roger went with the greatest probability.",D) immutable : alteration,A) Quantity in Column A is greater.,D) 217.75,D) vary,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"A) colder and wetter than was usual in some regions, which slowed",A) bringing,"C) Born in Calcutta in 1940, author Bharati Mukherjee became a United States citizen in 1988; she has",D) 45,A) Monday,Chrome,59.0.3071.115,Windows NT 10.0,1366x768,39.813,338.215,341.499,8,823011,10
1,7/11/2017 9:30,7/11/2017 9:42,IP Address,71.112.128.129,100,744,TRUE,7/11/2017 9:42,R_xlWTbJoRtMRHNEB,,40.15820313,-80.25530243,anonymous,EN,Female,Associate degree in college (2-year),28-37,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,D) Written by what some believe as one of the first widely read female authors of the Western world,A) Sunburns are most likely to happen when beach go-ers suntan for consecutive sunny days at the beach.,D) $1200,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,C) more tech-savvy than those at any other time in,"B) Jackson, Simon, Prince, Nicks, Mitchell, Wonder, Lennon, King",E) Treatment with psychotherapy has no effect on mental disorders other than a reduction of the symptoms,B) Home fires caused by smoking in bed often break out after the home‰Ûªs occupants have fallen asleep.,A) Roger feels better now than he would have felt without the surgery.,E)  intractable : destruction,C) Two columns are equal.,B)  260.25,D) vary,C) Past attempts to protect the environment through recycling laws have failed.,E) having been colder and wetter than was usual in some regions and slowed,B) and brings,"C) Born in Calcutta in 1940, author Bharati Mukherjee became a United States citizen in 1988; she has",B) 20,A) Monday,Chrome,61.0.3141.8,Windows NT 10.0,1600x900,43.761,154.016,155.224,5,237657,8
1,7/11/2017 9:32,7/11/2017 9:44,IP Address,76.182.17.151,100,750,TRUE,7/11/2017 9:44,R_sRU4q1S6WPVsUzD,,35.54460144,-78.8309021,anonymous,EN,Female,High school graduate (high school diploma or equivalent including GED),38-47,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,B) Written by one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,E) $1300,E) Statements 1 and 2 are not sufficient to answer the question asked and additional data is needed to answer the statements.,C) more tech-savvy than those at any other time in,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",A) Treatment by psychotherapy can produce no effective reduction in or correction of chemical imbalances that cause mental disorders.,"E) Population densities have increased, with the result that one home fire can cause more deaths than in previous decades","E) Roger made the decision himself, and he takes the responsibility for it.",A) invincible : control,D) Relationship cannot be determined from the information given.,D) 217.75,D) vary,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"C) since it was colder and wetter than usually in some regions, which slowed",E) and brought,"B) Having been a United States citizen since 1988, she was born in Calcutta in 1940; author Bharati Mukherjee",D) 45,A) Monday,Chrome,59.0.3071.115,Windows NT 10.0,1366x768,64.034,132.832,133.907,5,337569,10
1,7/11/2017 9:30,7/11/2017 9:45,IP Address,173.80.189.61,100,884,TRUE,7/11/2017 9:45,R_32XCiSjqQ1z8JJD,,38.45080566,-81.89479828,anonymous,EN,Female,Some college but no degree,28-37,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,B) $1000,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,A) more tech-savvy now than at any time in their,"B) Jackson, Simon, Prince, Nicks, Mitchell, Wonder, Lennon, King",D) Medication is always more effective in treating patients with mental disorders than is psychotherapy.,C) Smokers who smoke in bed tend to be heavy smokers who are less likely to quit smoking than are smokers who do not smoke in bed.,A) Roger feels better now than he would have felt without the surgery.,E)  intractable : destruction,A) Quantity in Column A is greater.,D) 217.75,A) increase,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"A) colder and wetter than was usual in some regions, which slowed",C) and it brings,"B) Having been a United States citizen since 1988, she was born in Calcutta in 1940; author Bharati Mukherjee",B) 20,A) Monday,Chrome,59.0.3071.115,Windows NT 10.0,1600x900,10.907,70.31,73.87,8,465766,8
